frame,label,model,input_w,input_h,detections,max_score,pre_ms,infer_ms,post_ms,total_ms,fps_equiv
7,,results20_fp32_320,320,240,1,0.5309692025184631,0.9756000945344567,7.099399925209582,0.27269998099654913,8.347700000740588,119.79347603666668
7,,results20_int8_percentile_320,320,240,1,0.5365597605705261,0.6972999544814229,14.902400085702538,0.26519992388784885,15.86489996407181,63.03222852111478
7,,results27_fp32_640,640,480,1,0.2368047684431076,6.55749998986721,22.954100044444203,0.38839993067085743,29.89999996498227,33.44481609268099
7,,results27_mixed_q3q4_640,640,480,1,0.23770560324192047,4.776500049047172,21.10390004236251,0.20080001559108496,26.081200107000768,38.341793931927924
8,,results20_fp32_320,320,240,1,0.5413298010826111,0.6155000301077962,6.193400011397898,0.1550000160932541,6.9639000575989485,143.59769550523754
8,,results20_int8_percentile_320,320,240,1,0.5290727615356445,0.4389999667182565,10.0467000156641,0.2261999761685729,10.71189995855093,93.35412054532263
8,,results27_fp32_640,640,480,1,0.3194432854652405,4.554699989967048,20.408099982887506,0.3125999355688691,25.275399908423424,39.5641613435653
8,,results27_mixed_q3q4_640,640,480,1,0.30573946237564087,5.498299957253039,25.868199998512864,0.27950003277510405,31.645999988541007,31.59957025728684
9,,results20_fp32_320,320,240,1,0.48247867822647095,0.7856000447645783,5.494899931363761,0.21770002786070108,6.498200003989041,153.88876910315648
9,,results20_int8_percentile_320,320,240,1,0.5036338567733765,0.9208000265061855,10.241199983283877,0.20739994943141937,11.369399959221482,87.95538934215442
9,,results27_fp32_640,640,480,1,0.3985956907272339,4.6319999964907765,20.77359997201711,0.20810007117688656,25.613700039684772,39.04160657970706
9,,results27_mixed_q3q4_640,640,480,1,0.40299880504608154,4.045200068503618,21.12920000217855,0.21620001643896103,25.39060008712113,39.38465402821377
10,,results20_fp32_320,320,240,1,0.5258653163909912,0.7737000705674291,5.373199936002493,0.25230005849152803,6.39920006506145,156.2695321029
10,,results20_int8_percentile_320,320,240,1,0.4851866066455841,0.40120002813637257,9.67619998846203,0.1705000177025795,10.247900034300983,97.58096748142322
10,,results27_fp32_640,640,480,1,0.3271840512752533,4.331600037403405,17.26629992481321,0.23300002794712782,21.830899990163743,45.80663190480309
10,,results27_mixed_q3q4_640,640,480,1,0.3177238702774048,4.344299901276827,20.645600045099854,0.2734999870881438,25.263399933464825,39.582954100938856
