epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count,result,experiment
25,0.0008535533905932,1.45156230570434,0.2477781163939794,0.6400186141977062,0.2818827872829778,459.0551948051948,0.9685886780549954,1.594250528762738,0.3119858806797613,0.6435699180389444,0.3193473661473642,522.859375,0.5457653999328613,0.1998656243085861,0.2504344653716543,0.6795938208922977,0.5071751048049017,0.5808596094363141,0.5814616680145264,0.2489013671875,0.4093038386467144,6291,2966,6113,0.747768223285675,6.046374918354017,0.0489875898105813,0.1332462442847811,0.25,2180,133,0.0610091743119266,3009,1485,0.4935194416749751,5721,3560,0.6222688341199091,1494,1113,0.7449799196787149,41.24762467643155,0.3580217361450195,2048.0,519.9335189000121,0,results.14,r3_school1_fpn48_exp200_seed11
26,0.0008422735529643,1.447033261323904,0.246490649177463,0.6396334502604101,0.2804545815888937,458.9538961038961,0.9743341731173653,1.6121225499858458,0.3207533983513713,0.6440923639262716,0.3236383939317117,522.859375,0.5396479368209839,0.1869027018547058,0.2445091443572891,0.6255226149752946,0.530715898097388,0.5742323796231681,0.5787315368652344,0.2626953125,0.4027531355154481,6583,3941,5821,0.7409030199050903,6.873938602220771,0.0261267145656433,0.1175702155453951,0.25,2180,180,0.0825688073394495,3009,1561,0.5187770023263543,5721,3678,0.6428945988463556,1494,1164,0.7791164658634538,40.87009870250223,0.3579640388488769,4096.0,520.7453959999839,0,results.14,r3_school1_fpn48_exp200_seed11
27,0.0008306559326618,1.4408079542122878,0.2447150028709854,0.6391747994469358,0.2784590757125383,458.9759740259741,0.9709126365455714,1.6112451485047738,0.3167203966683398,0.6440949408958355,0.3252149058195452,522.859375,0.5452902913093567,0.1808635741472244,0.2399083445896394,0.638921568627451,0.5253950338600452,0.5766236064413378,0.5800365805625916,0.266357421875,0.4051097159196867,6517,3683,5887,0.7369157671928406,6.662312214239059,0.0411495754408883,0.1136512083605486,0.25,2180,177,0.0811926605504587,3009,1490,0.4951811232967763,5721,3720,0.6502359727320398,1494,1130,0.7563587684069611,40.97235042014611,0.3567337989807129,4096.0,514.212917900004,0,results.14,r3_school1_fpn48_exp200_seed11
28,0.0008187119948743,1.4365595624044345,0.2431870627083948,0.6390677544203671,0.2771523722193458,459.0402597402597,0.972326720147938,1.6235888426502545,0.3337541517491142,0.6443029949441552,0.3227658496859173,522.859375,0.5492355227470398,0.1937296092510223,0.2492970446284744,0.5991542595366047,0.5482908739116414,0.5725952431067145,0.5805947780609131,0.275390625,0.4011442727379969,6801,4550,5603,0.7394109964370728,7.414108425865447,0.0300457217504898,0.1064663618549967,0.25,2180,183,0.0839449541284403,3009,1562,0.5191093386507145,5721,3890,0.6799510575074288,1494,1166,0.7804551539491299,41.10069126866463,0.3589344024658203,4096.0,513.432277600019,0,results.14,r3_school1_fpn48_exp200_seed11
29,0.0008064535268264,1.430292236030876,0.2416959735093178,0.6387140097943219,0.274941125995927,459.0954545454546,0.9711677693894932,1.6073910699536402,0.31182738339218,0.6440535699948668,0.3257550570803384,522.859375,0.5504938960075378,0.2016825675964355,0.2532377852126956,0.6731894076358609,0.5103192518542405,0.5805475306094373,0.5809631943702698,0.24853515625,0.4089939910835433,6330,3073,6074,0.7459408640861511,6.141737426518615,0.047028086218158,0.1195297191378184,0.25,2180,161,0.0738532110091743,3009,1364,0.4533067464273845,5721,3640,0.6362524034259744,1494,1165,0.7797858099062919,41.0902727023782,0.357147216796875,4096.0,512.5768291999993,0,results.14,r3_school1_fpn48_exp200_seed11
30,0.0007938926261462,1.426870359615846,0.2398921171566108,0.6386391462830754,0.2741695474010783,459.07142857142856,0.9642546733478448,1.6417674372593565,0.345610164028282,0.6453492135430375,0.3254040294947724,522.859375,0.5479493141174316,0.1669557839632034,0.2350063175203104,0.5346682606096832,0.5769106739761367,0.5549868155731348,0.5846279859542847,0.29443359375,0.3840704164877629,7156,6228,5248,0.7268090844154358,8.741998693664272,0.0195950359242325,0.0914435009797517,0.25,2180,227,0.1041284403669724,3009,1653,0.5493519441674976,5721,4068,0.7110644992134242,1494,1208,0.8085676037483266,40.92359489542031,0.3571524620056152,4096.0,509.3714390000096,0,results.14,r3_school1_fpn48_exp200_seed11
1,0.0009997532801828,2.3508914349915147,0.4940766448324377,0.7855183823542161,0.5356482042894735,458.96623376623376,3.629190368427859,2.077065148080389,0.4625152687852581,0.6752520507822434,0.469648907892406,522.859375,0.1109447032213211,0.0040474217385053,0.0286851776196272,0.3016181229773463,0.1127055788455337,0.1640941369798697,0.1990261673927307,0.1929931640625,0.0893804743942203,1398,3237,11006,0.641632080078125,3.0274330502939257,0.3899412148922273,0.728282168517309,0.25,2180,2,0.0009174311926605,3009,357,0.1186440677966101,5721,872,0.1524209054361125,1494,167,0.1117804551539491,42.03419148738127,0.3590869903564453,1024.0,499.0939096999937,0,results.15,r3_school2_fpn48_exp200_seed14
2,0.0009990133642141,1.9499581638868757,0.4002494890774999,0.6694455612015414,0.4401315569490581,459.0006493506493,1.526779823063256,1.916420488928755,0.4096410262864083,0.662986870855093,0.4218962976398567,522.859375,0.2246414422988891,0.0102819334715604,0.0638279356683597,0.504302925989673,0.1653498871331828,0.2490437739056523,0.3093509376049042,0.198486328125,0.1422330097087378,2051,2016,10353,0.666875958442688,2.656433703461789,0.4826910516002612,0.6812540822991509,0.25,2180,19,0.0087155963302752,3009,665,0.2210036556995679,5721,1209,0.2113266911379129,1494,158,0.1057563587684069,41.8181778783104,0.3590869903564453,1024.0,505.3256307999982,0,results.15,r3_school2_fpn48_exp200_seed14
3,0.0009977809823015,1.845309952404592,0.3680750136348334,0.6629887088165655,0.4071231156781122,459.0792207792208,1.353594962691332,1.818845560153325,0.3709991141998519,0.656527521709601,0.3956594595996042,522.859375,0.316805750131607,0.0443304553627967,0.107534094521543,0.7129724208375894,0.1688165108029667,0.2729939378137018,0.3858101367950439,0.1826171875,0.1580735260813769,2094,843,10310,0.70637446641922,1.9183540169823643,0.465708687132593,0.5885042455911169,0.25,2180,20,0.0091743119266055,3009,560,0.1861083416417414,5721,1232,0.2153469673134067,1494,282,0.1887550200803212,41.54508947074672,0.3567948341369629,1024.0,498.8483760999952,0,results.15,r3_school2_fpn48_exp200_seed14
4,0.0009960573506572,1.777656872241528,0.3459751381405762,0.659117359000367,0.3862821883388928,459.1077922077922,1.2854055312159771,1.7674685238550107,0.3601284692219148,0.6533361645415425,0.3770019446189205,522.859375,0.37327840924263,0.0798702239990234,0.142528479534667,0.7808175088509817,0.1955820702999032,0.3128102636838373,0.4312856793403625,0.1678466796875,0.1854031333588078,2426,681,9978,0.7349216938018799,2.029392553886349,0.4624428478118876,0.5538863487916394,0.25,2180,36,0.0165137614678899,3009,661,0.2196743104021269,5721,1346,0.2352735535745499,1494,383,0.2563587684069612,41.48379180750669,0.3572587966918945,1024.0,500.8845846999902,0,results.15,r3_school2_fpn48_exp200_seed14
